station_3,18600004863,18900009948,success,1587395182236,3
station_8,18600007081,18900008013,success,1587395182236,3
station_1,18600007147,18900003316,success,1587395184253,5
station_8,18600006739,18900004334,success,1587395186254,16
station_9,18600004439,18900008410,success,1587395186254,12
station_9,18600001728,18900001527,success,1587395186254,4
station_6,18600001728,18900002407,success,1587395196254,5
station_4,18600001728,18900006970,success,1587395386255,1
station_0,18600007239,18900009117,success,1587395188257,12
station_9,18600003256,18900003891,success,1587395188257,5
station_1,18600003796,18900008373,success,1587395188257,14
station_9,18600009422,18900007704,success,1587395190260,10
station_0,18600005602,18900002342,success,1587395190261,8
station_0,18600005602,18900002342,fail,1587395190264,8
